body,documents,type,id,gold_exact_answer,gold_ideal_answer,retrieved_pmids,retrieved_docids,pred_exact_answer,pred_ideal_answer,raw_llm,sources,answer_em,answer_f1,contexts
What is the inheritance pattern of Li–Fraumeni syndrome?,"['7981072', '2190528', '9302689', '16772121', '22672556', '20075382']",factoid,52bf208003868f1b06000019,[['Autosomal dominant']],['Li-Fraumeni syndrome shows autosomal dominant inheritance.'],"['9302689', '20075382', '16791377', '19204208', '9641694']","['9302689#0', '20075382#1', '16791377#2', '19204208#3', '9641694#4']",[],The document discusses the study of the pattern of inheritance for genetic counseling.,"```json
{
""exact_answer"": """",
""ideal_answer"": ""The document discusses the study of the pattern of inheritance for genetic counseling.""
}
```","[{'doc_id': '9302689#0', 'pmid': '9302689', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '20075382#1', 'pmid': '20075382', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '16791377#2', 'pmid': '16791377', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '19204208#3', 'pmid': '19204208', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '9641694#4', 'pmid': '9641694', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}]",0.0,0.0,"['Title: The Li-Fraumeni syndrome: an inherited susceptibility to cancer.', 'Title: Genetic modeling of Li-Fraumeni syndrome in zebrafish.', 'clinical and genetics manifestations, laboratorial and electromyography changes, as well as, the study of the pattern of inheritance for genetic counseling are discussed.', 'Title: Beyond Li Fraumeni Syndrome: clinical characteristics of families with p53 germline mutations.', 'Title: A recessive variant of the Romano-Ward long-QT syndrome?']"
What is the main role of Ctf4 in dna replication?,"['24255107', '21470422', '20381454', '20089864', '19805216', '19661920', '19496828', '17761813', '24805245', '15226378', '1448101', '9199353', '11287619', '16962805', '12455694', '23334284', '14742710', '19910927', '19430531', '20980819']",factoid,530cf22aa177c6630c000004,"[['Coordination of the progression of helicase and DNA polymerase alpha at the eukaryotic replication fork.', '']]","['Ctf4 coordinates the progression of helicase and DNA polymerase alpha.  Mcm10 and And-1/CTF4 recruit DNA polymerase alpha to chromatin for initiation of DNA replication. And-1/Ctf4 is therefore a new replication initiation factor that brings together the MCM2-7 helicase and the DNA pol alpha-primase complex, analogous to the linker between helicase and primase or helicase and polymerase that is seen in the bacterial replication machinery.', 'coupling MCM2-7 to replicative polymerases is an important feature of the regulation of chromosome replication in eukaryotes, and highlight a key role for Ctf4 in this processAnd-1/Ctf4 is therefore a new replication initiation factor that brings together the MCM2-7 helicase and the DNA pol alpha-primase complex, analogous to the linker between helicase and primase or helicase and polymerase that is seen in the bacterial replication machinery', 'coupling MCM2-7 to replicative polymerases is an important feature of the regulation of chromosome replication in eukaryotes, and highlight a key role for Ctf4 in this processAnd-1/Ctf4 is therefore a new replication initiation factor that brings together the MCM2-7 helicase and the DNA pol alpha-primase complex, analogous to the linker between helicase and primase or helicase and polymerase that is seen in the bacterial replication machinery']","['21470422', '20381454', '20089864', '19430531', '19496828']","['21470422#0', '20381454#1', '20089864#2', '19430531#3', '19496828#4']",[['DNA replication']],"Ctf4 plays a central role in DNA replication. In Drosophila, Ctf4 is essential for efficient DNA replication and normal cell cycle progression. In budding yeast, Ctf4p facilitates Mcm10p to promote DNA replication. Furthermore, in humans, the Ctf4/AND-1 factor influences DNA replication. Ctf4 coordinates the progression of helicase and DNA polymerase alpha, and in conjunction with Ctf18, it coordinates the relative movement of the replication fork with respect to the cohesin ring.","```json
{
  ""exact_answer"": ""DNA replication"",
  ""ideal_answer"": ""Ctf4 plays a central role in DNA replication. In Drosophila, Ctf4 is essential for efficient DNA replication and normal cell cycle progression. In budding yeast, Ctf4p facilitates Mcm10p to promote DNA replication. Furthermore, in humans, the Ctf4/AND-1 factor influences DNA replication. Ctf4 coordinates the progression of helicase and DNA polymerase alpha, and in conjunction with Ctf18, it coordinates the relative movement of the replication fork with respect to the cohesin ring.""
}
```","[{'doc_id': '21470422#0', 'pmid': '21470422', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '20381454#1', 'pmid': '20381454', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '20089864#2', 'pmid': '20089864', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '19430531#3', 'pmid': '19430531', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '19496828#4', 'pmid': '19496828', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}]",0.0,0.0,"['Title: Drosophila Ctf4 is essential for efficient DNA replication and normal cell cycle progression.', 'Title: Ctf4p facilitates Mcm10p to promote DNA replication in budding yeast.', 'Title: Influence of the human cohesion establishment factor Ctf4/AND-1 on DNA replication.', 'Ctf4, and Ctf18 may coordinate the relative movement of the replication fork with respect to the cohesin ring.', 'Title: Ctf4 coordinates the progression of helicase and DNA polymerase alpha.']"
Which type of lung cancer is afatinib used for?,"['24086949', '23683257', '23664448', '18520300', '18408761', '22452896', '22071596', '21554040']",factoid,530cf4fe960c95ad0c00000b,"[['EGFR-mutant non small cell lung carcinoma', 'EGFR-mutant NSCLC']]","['Afatinib is a small molecule covalently binding and inhibiting the EGFR, HER2 and HER4 receptor tyrosine kinases. Trials showed promising efficacy in patients with EGFR-mutant NSCLC or enriched for clinical benefit from EGFR tyrosine kinase inhibitors gefitinib or erlotinib.', 'Afatinib is a novel irreversible inhibitor of the ErbB family members EGFR, tyrosine kinase-type cell surface receptors HER2 and HER4. It shows preclinical efficacy in NSCLC with common EGFR-activating mutations and the T790M mutation typically associated with EGFR TKI resistanceBIBW2992 is an irreversible EGFR TKI that also inhibits HER2 and vascular epidermal growth factor receptors']","['24086949', '23664448', '21554040', '23266614', '23255952']","['24086949#0', '23664448#1', '21554040#2', '23266614#3', '23255952#4']",[],Afatinib is used for the treatment of patients with EGFR-positive non-small cell lung cancer.,"```json
{
""exact_answer"": """",
""ideal_answer"": ""Afatinib is used for the treatment of patients with EGFR-positive non-small cell lung cancer.""
}
```","[{'doc_id': '24086949#0', 'pmid': '24086949', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '23664448#1', 'pmid': '23664448', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '21554040#2', 'pmid': '21554040', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '23266614#3', 'pmid': '23266614', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '23255952#4', 'pmid': '23255952', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}]",0.0,0.0,"['Title: Afatinib for the treatment of patients with EGFR-positive non-small cell lung cancer.', 'Title: Clinical perspective of afatinib in non-small cell lung cancer.', 'Title: The LUX-Lung clinical trial program of afatinib for non-small-cell lung cancer.', 'such as afatinib, with T790M-specific-siRNAs should be further investigated as a new strategy in the treatment of lung cancer containing the resistant T790M mutation.', 'Title: Transducer of erbB2.1 is a potential cellular target of gefitinib in lung cancer therapy.']"
What is the clinical indication of cardiac T1 mapping magnetic resonance?,"['24124732', '24043965', '24036385', '24011774', '23549230', '23498674', '23498672', '23408722', '22967246', '22720998', '22309452', '22279111', '19007595', '17659622', '12765114', '25424139', '22710483', '24931636', '24566951', '23564562', '24425501', '23272704', '24518490', '23403334', '24472162', '23280998', '22161952', '24903343', '25310419', '24576837', '23890156', '23643513', '17896383', '21974927']",factoid,530cf51d5610acba0c000001,"[['T1 mapping can quantitatively characterize myocardial tissue, i.e. fibrosis and edema.']]","['T1 mapping can quantitatively characterize myocardial tissue, in particular diffuse and interstitial fibrosis, edema in both overt and subclinical cardiophyopathies. However more research is required before a large-scale application for clinical decision-making can be recommended.']","['23408722', '23643513', '25424139', '25310419', '12765114']","['23408722#0', '23643513#1', '25424139#2', '25310419#3', '12765114#4']",[['myocardial characterization and quantification']],"Cardiac magnetic resonance T1 mapping is utilized for myocardial characterization and quantification. Several studies demonstrate its application in assessing myocardial tissue properties, including identifying areas of fibrosis, assessing myocardial viability, and evaluating the effects of various cardiac conditions. T1 mapping is frequently employed in the context of acute myocardial infarction, characterizing myocardial edema and assessing infarct size. Furthermore, it has applications in evaluating left atrial myocardium, and evaluating fibrosis in the left ventricle.","```json
{
""exact_answer"": ""myocardial characterization and quantification"",
""ideal_answer"": ""Cardiac magnetic resonance T1 mapping is utilized for myocardial characterization and quantification. Several studies demonstrate its application in assessing myocardial tissue properties, including identifying areas of fibrosis, assessing myocardial viability, and evaluating the effects of various cardiac conditions. T1 mapping is frequently employed in the context of acute myocardial infarction, characterizing myocardial edema and assessing infarct size. Furthermore, it has applications in evaluating left atrial myocardium, and evaluating fibrosis in the left ventricle.""
}
```","[{'doc_id': '23408722#0', 'pmid': '23408722', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '23643513#1', 'pmid': '23643513', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '25424139#2', 'pmid': '25424139', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '25310419#3', 'pmid': '25310419', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '12765114#4', 'pmid': '12765114', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}]",0.0,0.0,"['Title: Advanced Cardiac MR Imaging for Myocardial Characterization and Quantification: T1 Mapping.', 'Title: Cardiac magnetic resonance T1 mapping of left atrial myocardium.', 'Title: [T1 and T2 mapping: new perspectives in cardiac magnetic resonance imaging].', 'Title: Mapping the future of cardiac MR imaging: case-based review of T1 and T2 mapping techniques.', 'Title: T1 mapping in patients with acute myocardial infarction.']"
Which hormone abnormalities are characteristic to Pendred syndrome?,"['23235354', '22116361', '22109890', '21511235', '20834201', '20822748', '20583162', '20501687', '20298745', '19692489', '19318451', '19205523', '19196800', '19189692', '18692402', '17697873', '17365057', '17120770', '16263499', '15863666', '15807875', '15279074', '11375792', '10650967', '9618167', '8706311', '7852510', '21745434', '8630497', '10700480', '7492068', '17322586', '18538122', '1159063', '10571950', '15355436', '10637573']",factoid,53148a07dae131f847000002,[['thyroid']],"['Thyroid hormone abnormalities are characteristic to Pendred syndrome. Hypothyroidism is the most common thyroid hormone abnormality in Pendred syndrome. Pendred syndrome  is an autosomal recessive disorder characterized by sensorineural deafness, goiter and a partial defect in iodide organification.']","['21511235', '20298745', '18692402', '1159063', '19205523']","['21511235#0', '20298745#1', '18692402#2', '1159063#3', '19205523#4']",[['iodide transport']],"Pendred syndrome is characterized by hormone abnormalities related to iodide transport in the thyroid. Studies have shown defects in thyroidal iodide transport and abnormalities in thyroid hormone levels in patients with this syndrome. The genetics of Pendred syndrome is associated with mutations in the PRM1 gene, which encodes a protein involved in iodide transport. Clinical features of the syndrome include hypothyroidism, goiter, and hearing loss.","```json
{
  ""exact_answer"": ""iodide transport"",
  ""ideal_answer"": ""Pendred syndrome is characterized by hormone abnormalities related to iodide transport in the thyroid. Studies have shown defects in thyroidal iodide transport and abnormalities in thyroid hormone levels in patients with this syndrome. The genetics of Pendred syndrome is associated with mutations in the PRM1 gene, which encodes a protein involved in iodide transport. Clinical features of the syndrome include hypothyroidism, goiter, and hearing loss.""
}
```","[{'doc_id': '21511235#0', 'pmid': '21511235', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '20298745#1', 'pmid': '20298745', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '18692402#2', 'pmid': '18692402', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '1159063#3', 'pmid': '1159063', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '19205523#4', 'pmid': '19205523', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}]",0.0,0.0,"['Title: Clinical and molecular characteristics of Pendred syndrome.', 'Title: Genetics and phenomics of Pendred syndrome.', 'Title: Pendred syndrome and iodide transport in the thyroid.', ""Title: Studies on the thyroidal defect in an atypical form of Pendred's syndrome."", 'Title: [Phenotypic evaluation of patients with Pendred syndrome].']"
What is an approximate number of CTCF binding sites in the human genome?,"['23707059', '22955980', '22829947', '22709888', '15670593', '15229244', '11854173', '11076856', '8034708']",factoid,533c38b3c45e133714000009,"[['30,000-50,000']]","['The number of CTCF binding sites in the human genome lies between 31,000 and 50,000.']","['22829947', '18623068', '23707059', '19308701', '22829947']","['22829947#0', '18623068#1', '23707059#2', '19308701#3', '22829947#4']",[],A genome-wide map of CTCF multivalency redefines the CTCF code. The results represent a critical step toward the comprehensive and systematic understanding of CTCF-dependent insulators and their versatile roles in the human genome.,"```json
{
""exact_answer"": """",
""ideal_answer"": ""A genome-wide map of CTCF multivalency redefines the CTCF code. The results represent a critical step toward the comprehensive and systematic understanding of CTCF-dependent insulators and their versatile roles in the human genome.""
}
```","[{'doc_id': '22829947#0', 'pmid': '22829947', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '18623068#1', 'pmid': '18623068', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '23707059#2', 'pmid': '23707059', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '19308701#3', 'pmid': '19308701', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '22829947#4', 'pmid': '22829947', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}]",0.0,0.0,"['Title: Comprehensive identification and annotation of cell type-specific and ubiquitous CTCF-binding sites in the human genome.', 'Title: Cohesin and CTCF: cooperating to control chromosome conformation?', 'Title: A genome-wide map of CTCF multivalency redefines the CTCF code.', 'Title: How cohesin and CTCF cooperate in regulating gene expression.', 'These results represent a critical step toward the comprehensive and systematic understanding of CTCF-dependent insulators and their versatile roles in the human genome.']"
What is an acceptable sequence coverage(depth) required for human whole-exome sequencing?,"['24065236', '23940558', '23728943', '23647072', '23450047', '23357921', '23349227', '23272691', '23015295', '22952768', '22654895', '22156295', '22038007', '21943378', '21499249', '24290377', '23160641', '21654732']",factoid,533c390bc45e13371400000b,[['30x-60x']],['A medium depth may be considered as 8x while the most common values vary between 30x and 60x. Values more than 75x or even up to 125x may be considered for the investigation of rare disease variants.'],"['24291220', '22468815', '16784548', '23357921', '23580477']","['24291220#0', '22468815#1', '16784548#2', '23357921#3', '23580477#4']",[],"The document does not explicitly state an acceptable sequence coverage (depth) required for human whole-exome sequencing. However, it mentions ""substantially increased coverage of the yeast proteome appears feasible with further development in software and instrumentation"" and ""strongly enhanced sequence coverage in LC-ESI MS/MS."" These reference improvements in sequencing technology but don't provide a specific depth requirement for human exome sequencing.","```json
{
  ""exact_answer"": """",
  ""ideal_answer"": ""The document does not explicitly state an acceptable sequence coverage (depth) required for human whole-exome sequencing. However, it mentions \""substantially increased coverage of the yeast proteome appears feasible with further development in software and instrumentation\"" and \""strongly enhanced sequence coverage in LC-ESI MS/MS.\"" These reference improvements in sequencing technology but don't provide a specific depth requirement for human exome sequencing.""
}
```","[{'doc_id': '24291220#0', 'pmid': '24291220', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '22468815#1', 'pmid': '22468815', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '16784548#2', 'pmid': '16784548', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '23357921#3', 'pmid': '23357921', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '23580477#4', 'pmid': '23580477', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}]",0.0,0.0,"['Title: The genetic basis of DOORS syndrome: an exome-sequencing study.', 'Title: Exome versus transcriptome sequencing in identifying coding region variants.', 'effective sequencing speed. Substantially increased coverage of the yeast proteome appears feasible with further development in software and instrumentation.', 'Title: AbCD: arbitrary coverage design for sequencing-based genetic studies.', 'strongly enhanced sequence coverage in LC-ESI MS/MS. The protocol is applicable in 1D and 2D gel settings within one working day.']"
Are most driver gene mutations synonymous or non-synonymous?,"['24147068', '23935863', '23819581', '23799614', '23704925', '23694700', '23450047', '23015295', '22893128', '22649506', '22072984', '19633228', '15946860']",factoid,534427f8aeec6fbd07000009,[['non-synonymous']],"['A common goal of tumor sequencing projects is finding genes whose mutations are selected for during tumor development. This is accomplished by choosing genes that have more non-synonymous mutations than expected from an estimated background mutation frequency.', 'A common goal of tumor sequencing projects is finding genes whose mutations are selected for during tumor development. This is accomplished by choosing genes that have more non-synonymous mutations than expected from an estimated background mutation frequency.  ', 'A common goal of tumor sequencing projects is finding genes whose mutations are selected for during tumor development. This is accomplished by choosing genes that have more non-synonymous mutations than expected from an estimated background mutation frequency.  ', 'A common goal of tumor sequencing projects is finding genes whose mutations are selected for during tumor development. This is accomplished by choosing genes that have more non-synonymous mutations than expected from an estimated background mutation frequency.  ', 'A common goal of tumor sequencing projects is finding genes whose mutations are selected for during tumor development. This is accomplished by choosing genes that have more non-synonymous mutations than expected from an estimated background mutation frequency.  ']","['24325358', '23694700', '19467449', '11402105', '23507588']","['24325358#0', '23694700#1', '19467449#2', '11402105#3', '23507588#4']",[],Adjusting for background mutation frequency biases improves the identification of cancer driver genes. The document does not provide information about whether driver gene mutations are synonymous or non-synonymous.,"```json
{
  ""exact_answer"": """",
  ""ideal_answer"": ""Adjusting for background mutation frequency biases improves the identification of cancer driver genes. The document does not provide information about whether driver gene mutations are synonymous or non-synonymous.""
}
```","[{'doc_id': '24325358#0', 'pmid': '24325358', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '23694700#1', 'pmid': '23694700', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '19467449#2', 'pmid': '19467449', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '11402105#3', 'pmid': '11402105', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '23507588#4', 'pmid': '23507588', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}]",0.0,0.0,"['Title: A dominant-negative GFI1B mutation in the gray platelet syndrome.', 'Title: Adjusting for background mutation frequency biases improves the identification of cancer driver genes.', 'Title: Sarcomere mutations in cardiogenesis and ventricular noncompaction.', 'Title: MeCP2 mutations in children with and without the phenotype of Rett syndrome.', 'Title: [Driver gene mutation and targeted therapy of lung cancer].']"
What is the major adverse effect of adriamycin(doxorubicin)?,"['21295102', '15997091', '15114698', '12445862', '12074691', '3461747', '3459397', '3947104', '7325994']",factoid,53551206a0726bee57000001,"[['Cardiotoxicity', 'Cardiac toxicity']]","['Cardiac toxicity is a major adverse effect caused by doxorubicin (DOX) therapy. In spite of the routine use of this drug its major adverse effect, the dose-dependent cardiotoxicity, cannot be prevented yet. Cardiotoxicity is a major adverse effect of the anthracycline antibiotics and can be acute or chronic.', 'Cardiac toxicity is a major adverse effect caused by doxorubicin (DOX) therapy  ', 'Cardiac toxicity is a major adverse effect caused by doxorubicin (DOX) therapy  ', 'Cardiac toxicity is a major adverse effect caused by doxorubicin (DOX) therapy  ', 'Cardiac toxicity is a major adverse effect caused by doxorubicin (DOX) therapy  ', 'Cardiac toxicity is a major adverse effect caused by doxorubicin (DOX) therapy  ']","['12074691', '3459397', '23376192', '17118783', '19478935']","['12074691#0', '3459397#1', '23376192#2', '17118783#3', '19478935#4']",[['bone-marrow suppression']],"The major adverse effect was bone-marrow suppression; leukopenia was observed in 82.1% of patients, anemia in 53.8% and thrombocytopenia in 20.0%.","```json
{
  ""exact_answer"": ""bone-marrow suppression"",
  ""ideal_answer"": ""The major adverse effect was bone-marrow suppression; leukopenia was observed in 82.1% of patients, anemia in 53.8% and thrombocytopenia in 20.0%.""
}
```","[{'doc_id': '12074691#0', 'pmid': '12074691', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '3459397#1', 'pmid': '3459397', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '23376192#2', 'pmid': '23376192', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '17118783#3', 'pmid': '17118783', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '19478935#4', 'pmid': '19478935', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}]",0.0,0.0,"['Title: Pharmacokinetic-pharmacodynamic relationships of the anthracycline anticancer drugs.', 'to previous chemotherapy were 50.0% (4/8) in previously non-treated patients and 36.4% (4/11) in patients previously treated with non-anthracyclines. The major adverse effect was bone-marrow suppression; leukopenia was observed in 82.1% of patients, anemia in 53.8% and thrombocytopenia in 20.0%. Other toxicities frequently observed were anorexia (55.0%), nausea-vomiting (55.0%) and alopecia (66.7%), but these seemed to be milder than those produced by doxorubicin.', 'Title: Pharmaco-miR: linking microRNAs and drug effects.', 'major side effect associated with the profound lymphopenia occurring as a result of treatment with this agent.', 'Title: Effect of dexrazoxane and amifostine on the vertebral bone quality of Doxorubicin treated male rats.']"
Which is the branch site consensus sequence in U12-dependent introns?,['18824513'],factoid,5357a6d0f1005d6b58000004,[['UUCCUUAAC']],['The branch site consensus sequence in U12-dependent introns is UUCCUUAAC.'],"['18824513', '20188075', '15899965', '22325781', '8702928']","['18824513#0', '20188075#1', '15899965#2', '22325781#3', '8702928#4']",[],U12-dependent branch site consensus sequence,"```json
{
""exact_answer"": """",
""ideal_answer"": ""U12-dependent branch site consensus sequence""
}
```","[{'doc_id': '18824513#0', 'pmid': '18824513', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '20188075#1', 'pmid': '20188075', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '15899965#2', 'pmid': '15899965', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '22325781#3', 'pmid': '22325781', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '8702928#4', 'pmid': '8702928', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}]",0.0,0.0,"['Title: Mutational analysis of the U12-dependent branch site consensus sequence.', 'potency and are consistent with the N-terminal domain of RAMP1 forming the binding pocket interface with CLR.', 'Title: Ultraconserved elements in insect genomes: a highly conserved intronic sequence implicated in the control of homothorax mRNA splicing.', 'Title: Conformational locking upon cooperative assembly of notch transcription complexes.', 'Title: RNA polymerase signals UvrAB landing sites.']"
