body,documents,type,id,gold_exact_answer,gold_ideal_answer,retrieved_pmids,retrieved_docids,pred_exact_answer,pred_ideal_answer,raw_llm,sources,answer_em,answer_f1,contexts
What is the inheritance pattern of Li–Fraumeni syndrome?,"['7981072', '2190528', '9302689', '16772121', '22672556', '20075382']",factoid,52bf208003868f1b06000019,[['Autosomal dominant']],['Li-Fraumeni syndrome shows autosomal dominant inheritance.'],"['9302689', '23015295', '19204208', '7981072', '22392042']","['9302689#0', '23015295#1', '19204208#2', '7981072#3', '22392042#4']",[],"Li-Fraumeni syndrome is an inherited susceptibility to cancer. It is caused by germline mutations in the TP53 gene. Families with Li-Fraumeni syndrome often exhibit increased p53 protein expression, and some have mutations in the p53 gene, while others do not. Studies have shown that it is inherited through autosomal dominant patterns.","```json
{
  ""exact_answer"": """",
  ""ideal_answer"": ""Li-Fraumeni syndrome is an inherited susceptibility to cancer. It is caused by germline mutations in the TP53 gene. Families with Li-Fraumeni syndrome often exhibit increased p53 protein expression, and some have mutations in the p53 gene, while others do not. Studies have shown that it is inherited through autosomal dominant patterns.""
}
```","[{'doc_id': '9302689#0', 'pmid': '9302689', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '23015295#1', 'pmid': '23015295', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '19204208#2', 'pmid': '19204208', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '7981072#3', 'pmid': '7981072', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '22392042#4', 'pmid': '22392042', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}]",0.0,0.0,"['Title: The Li-Fraumeni syndrome: an inherited susceptibility to cancer.', 'Title: Whole exome sequencing of pediatric gastric adenocarcinoma reveals an atypical presentation of Li-Fraumeni syndrome.', 'Title: Beyond Li Fraumeni Syndrome: clinical characteristics of families with p53 germline mutations.', 'Title: Linkage studies in a Li-Fraumeni family with increased expression of p53 protein but no germline mutation in p53.', 'Title: Breast cancer phenotype in women with TP53 germline mutations: a Li-Fraumeni syndrome consortium effort.']"
What is the main role of Ctf4 in dna replication?,"['24255107', '21470422', '20381454', '20089864', '19805216', '19661920', '19496828', '17761813', '24805245', '15226378', '1448101', '9199353', '11287619', '16962805', '12455694', '23334284', '14742710', '19910927', '19430531', '20980819']",factoid,530cf22aa177c6630c000004,"[['Coordination of the progression of helicase and DNA polymerase alpha at the eukaryotic replication fork.', '']]","['Ctf4 coordinates the progression of helicase and DNA polymerase alpha.  Mcm10 and And-1/CTF4 recruit DNA polymerase alpha to chromatin for initiation of DNA replication. And-1/Ctf4 is therefore a new replication initiation factor that brings together the MCM2-7 helicase and the DNA pol alpha-primase complex, analogous to the linker between helicase and primase or helicase and polymerase that is seen in the bacterial replication machinery.', 'coupling MCM2-7 to replicative polymerases is an important feature of the regulation of chromosome replication in eukaryotes, and highlight a key role for Ctf4 in this processAnd-1/Ctf4 is therefore a new replication initiation factor that brings together the MCM2-7 helicase and the DNA pol alpha-primase complex, analogous to the linker between helicase and primase or helicase and polymerase that is seen in the bacterial replication machinery', 'coupling MCM2-7 to replicative polymerases is an important feature of the regulation of chromosome replication in eukaryotes, and highlight a key role for Ctf4 in this processAnd-1/Ctf4 is therefore a new replication initiation factor that brings together the MCM2-7 helicase and the DNA pol alpha-primase complex, analogous to the linker between helicase and primase or helicase and polymerase that is seen in the bacterial replication machinery']","['21470422', '19496828', '20089864', '24805245', '19661920']","['21470422#0', '19496828#1', '20089864#2', '24805245#3', '19661920#4']",[],"Ctf4 plays a key role in coupling the MCM2-7 helicase to DNA polymerase alpha within the eukaryotic replisome. It also coordinates the progression of helicase and DNA polymerase alpha, and is essential for efficient DNA replication and normal cell cycle progression. Furthermore, a Ctf4 trimer couples the CMG helicase to DNA polymerase α in the eukaryotic replisome.","```json
{
  ""exact_answer"": """",
  ""ideal_answer"": ""Ctf4 plays a key role in coupling the MCM2-7 helicase to DNA polymerase alpha within the eukaryotic replisome. It also coordinates the progression of helicase and DNA polymerase alpha, and is essential for efficient DNA replication and normal cell cycle progression. Furthermore, a Ctf4 trimer couples the CMG helicase to DNA polymerase α in the eukaryotic replisome.""
}
```","[{'doc_id': '21470422#0', 'pmid': '21470422', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '19496828#1', 'pmid': '19496828', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '20089864#2', 'pmid': '20089864', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '24805245#3', 'pmid': '24805245', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '19661920#4', 'pmid': '19661920', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}]",0.0,0.0,"['Title: Drosophila Ctf4 is essential for efficient DNA replication and normal cell cycle progression.', 'Title: Ctf4 coordinates the progression of helicase and DNA polymerase alpha.', 'Title: Influence of the human cohesion establishment factor Ctf4/AND-1 on DNA replication.', 'Title: A Ctf4 trimer couples the CMG helicase to DNA polymerase α in the eukaryotic replisome.', 'Title: A key role for Ctf4 in coupling the MCM2-7 helicase to DNA polymerase alpha within the eukaryotic replisome.']"
Which type of lung cancer is afatinib used for?,"['24086949', '23683257', '23664448', '18520300', '18408761', '22452896', '22071596', '21554040']",factoid,530cf4fe960c95ad0c00000b,"[['EGFR-mutant non small cell lung carcinoma', 'EGFR-mutant NSCLC']]","['Afatinib is a small molecule covalently binding and inhibiting the EGFR, HER2 and HER4 receptor tyrosine kinases. Trials showed promising efficacy in patients with EGFR-mutant NSCLC or enriched for clinical benefit from EGFR tyrosine kinase inhibitors gefitinib or erlotinib.', 'Afatinib is a novel irreversible inhibitor of the ErbB family members EGFR, tyrosine kinase-type cell surface receptors HER2 and HER4. It shows preclinical efficacy in NSCLC with common EGFR-activating mutations and the T790M mutation typically associated with EGFR TKI resistanceBIBW2992 is an irreversible EGFR TKI that also inhibits HER2 and vascular epidermal growth factor receptors']","['23664448', '24086949', '21554040', '17985985', '23266614']","['23664448#0', '24086949#1', '21554040#2', '17985985#3', '23266614#4']",[['non-small cell lung cancer']],"Afatinib is used for the treatment of patients with EGFR-positive non-small cell lung cancer. The LUX-Lung clinical trial program also investigated afatinib for non-small-cell lung cancer. Furthermore, research suggests its potential use in lung cancer containing the resistant T790M mutation.","```json
{
""exact_answer"": ""non-small cell lung cancer"",
""ideal_answer"": ""Afatinib is used for the treatment of patients with EGFR-positive non-small cell lung cancer. The LUX-Lung clinical trial program also investigated afatinib for non-small-cell lung cancer. Furthermore, research suggests its potential use in lung cancer containing the resistant T790M mutation.""
}
```","[{'doc_id': '23664448#0', 'pmid': '23664448', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '24086949#1', 'pmid': '24086949', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '21554040#2', 'pmid': '21554040', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '17985985#3', 'pmid': '17985985', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '23266614#4', 'pmid': '23266614', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}]",0.0,0.0,"['Title: Clinical perspective of afatinib in non-small cell lung cancer.', 'Title: Afatinib for the treatment of patients with EGFR-positive non-small cell lung cancer.', 'Title: The LUX-Lung clinical trial program of afatinib for non-small-cell lung cancer.', 'Title: A phase II study of gefitinib in patients with advanced thyroid cancer.', 'such as afatinib, with T790M-specific-siRNAs should be further investigated as a new strategy in the treatment of lung cancer containing the resistant T790M mutation.']"
What is the clinical indication of cardiac T1 mapping magnetic resonance?,"['24124732', '24043965', '24036385', '24011774', '23549230', '23498674', '23498672', '23408722', '22967246', '22720998', '22309452', '22279111', '19007595', '17659622', '12765114', '25424139', '22710483', '24931636', '24566951', '23564562', '24425501', '23272704', '24518490', '23403334', '24472162', '23280998', '22161952', '24903343', '25310419', '24576837', '23890156', '23643513', '17896383', '21974927']",factoid,530cf51d5610acba0c000001,"[['T1 mapping can quantitatively characterize myocardial tissue, i.e. fibrosis and edema.']]","['T1 mapping can quantitatively characterize myocardial tissue, in particular diffuse and interstitial fibrosis, edema in both overt and subclinical cardiophyopathies. However more research is required before a large-scale application for clinical decision-making can be recommended.']","['23643513', '12765114', '24903343', '22309452', '22710483']","['23643513#0', '12765114#1', '24903343#2', '22309452#3', '22710483#4']",[['Progression of diffuse myocardial fibrosis']],"Cardiac magnetic resonance T1 mapping is utilized in several clinical contexts. It's employed to assess the progression of diffuse myocardial fibrosis, as seen in studies using T1 mapping. Furthermore, it's used in the evaluation of acute myocardial infarction, allowing assessment of severity of injury. T1 mapping is also utilized in patients with left atrial myocardium and in the assessment of cardiac involvement in myotonic muscular dystrophy.","```json
{
""exact_answer"": ""Progression of diffuse myocardial fibrosis"",
""ideal_answer"": ""Cardiac magnetic resonance T1 mapping is utilized in several clinical contexts. It's employed to assess the progression of diffuse myocardial fibrosis, as seen in studies using T1 mapping. Furthermore, it's used in the evaluation of acute myocardial infarction, allowing assessment of severity of injury. T1 mapping is also utilized in patients with left atrial myocardium and in the assessment of cardiac involvement in myotonic muscular dystrophy.""
}
```","[{'doc_id': '23643513#0', 'pmid': '23643513', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '12765114#1', 'pmid': '12765114', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '24903343#2', 'pmid': '24903343', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '22309452#3', 'pmid': '22309452', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '22710483#4', 'pmid': '22710483', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}]",0.0,0.0,"['Title: Cardiac magnetic resonance T1 mapping of left atrial myocardium.', 'Title: T1 mapping in patients with acute myocardial infarction.', 'Title: Progression of diffuse myocardial fibrosis assessed by cardiac magnetic resonance T₁ mapping.', 'Title: Cardiovascular magnetic resonance by non contrast T1-mapping allows assessment of severity of injury in acute myocardial infarction.', 'Title: Assessment of cardiac involvement in myotonic muscular dystrophy by T1 mapping on magnetic resonance imaging.']"
Which hormone abnormalities are characteristic to Pendred syndrome?,"['23235354', '22116361', '22109890', '21511235', '20834201', '20822748', '20583162', '20501687', '20298745', '19692489', '19318451', '19205523', '19196800', '19189692', '18692402', '17697873', '17365057', '17120770', '16263499', '15863666', '15807875', '15279074', '11375792', '10650967', '9618167', '8706311', '7852510', '21745434', '8630497', '10700480', '7492068', '17322586', '18538122', '1159063', '10571950', '15355436', '10637573']",factoid,53148a07dae131f847000002,[['thyroid']],"['Thyroid hormone abnormalities are characteristic to Pendred syndrome. Hypothyroidism is the most common thyroid hormone abnormality in Pendred syndrome. Pendred syndrome  is an autosomal recessive disorder characterized by sensorineural deafness, goiter and a partial defect in iodide organification.']","['21745434', '20298745', '21511235', '1159063', '18692402']","['21745434#0', '20298745#1', '21511235#2', '1159063#3', '18692402#4']",[['thyroidal defect']],"The document describes several aspects of Pendred syndrome, including thyroidal defects. Studies have investigated thyroidal abnormalities in patients with Pendred syndrome, and iodide transport within the thyroid is also a key feature. Genetic and clinical characteristics of the syndrome, along with its connection to thyroid function, are detailed across multiple publications.","```json
{
  ""exact_answer"": ""thyroidal defect"",
  ""ideal_answer"": ""The document describes several aspects of Pendred syndrome, including thyroidal defects. Studies have investigated thyroidal abnormalities in patients with Pendred syndrome, and iodide transport within the thyroid is also a key feature. Genetic and clinical characteristics of the syndrome, along with its connection to thyroid function, are detailed across multiple publications.""
}
```","[{'doc_id': '21745434#0', 'pmid': '21745434', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '20298745#1', 'pmid': '20298745', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '21511235#2', 'pmid': '21511235', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '1159063#3', 'pmid': '1159063', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '18692402#4', 'pmid': '18692402', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}]",0.0,0.0,"['Title: An unfortunate case of Pendred syndrome.', 'Title: Genetics and phenomics of Pendred syndrome.', 'Title: Clinical and molecular characteristics of Pendred syndrome.', ""Title: Studies on the thyroidal defect in an atypical form of Pendred's syndrome."", 'Title: Pendred syndrome and iodide transport in the thyroid.']"
What is an approximate number of CTCF binding sites in the human genome?,"['23707059', '22955980', '22829947', '22709888', '15670593', '15229244', '11854173', '11076856', '8034708']",factoid,533c38b3c45e133714000009,"[['30,000-50,000']]","['The number of CTCF binding sites in the human genome lies between 31,000 and 50,000.']","['22829947', '17442748', '18623068', '19308701', '23707059']","['22829947#0', '17442748#1', '18623068#2', '19308701#3', '23707059#4']",[],Thousands of CTCF insulator sites,"```json
{
""exact_answer"": """",
""ideal_answer"": ""Thousands of CTCF insulator sites""
}
```","[{'doc_id': '22829947#0', 'pmid': '22829947', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '17442748#1', 'pmid': '17442748', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '18623068#2', 'pmid': '18623068', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '19308701#3', 'pmid': '19308701', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '23707059#4', 'pmid': '23707059', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}]",0.0,0.0,"['Title: Comprehensive identification and annotation of cell type-specific and ubiquitous CTCF-binding sites in the human genome.', 'Title: Systematic discovery of regulatory motifs in conserved regions of the human genome, including thousands of CTCF insulator sites.', 'Title: Cohesin and CTCF: cooperating to control chromosome conformation?', 'Title: How cohesin and CTCF cooperate in regulating gene expression.', 'Title: A genome-wide map of CTCF multivalency redefines the CTCF code.']"
What is an acceptable sequence coverage(depth) required for human whole-exome sequencing?,"['24065236', '23940558', '23728943', '23647072', '23450047', '23357921', '23349227', '23272691', '23015295', '22952768', '22654895', '22156295', '22038007', '21943378', '21499249', '24290377', '23160641', '21654732']",factoid,533c390bc45e13371400000b,[['30x-60x']],['A medium depth may be considered as 8x while the most common values vary between 30x and 60x. Values more than 75x or even up to 125x may be considered for the investigation of rare disease variants.'],"['23799614', '6418001', '24076290', '14764563', '23450047']","['23799614#0', '6418001#1', '24076290#2', '14764563#3', '23450047#4']",[],Our approach highlights the utility of exome sequencing in uncovering the genetic defect even in families with a small number of affected individuals.,"```json
{
  ""exact_answer"": """",
  ""ideal_answer"": ""Our approach highlights the utility of exome sequencing in uncovering the genetic defect even in families with a small number of affected individuals.""
}
```","[{'doc_id': '23799614#0', 'pmid': '23799614', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '6418001#1', 'pmid': '6418001', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '24076290#2', 'pmid': '24076290', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '14764563#3', 'pmid': '14764563', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '23450047#4', 'pmid': '23450047', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}]",0.0,0.0,"['Title: Whole-exome sequencing to identify novel somatic mutations in squamous cell lung cancers.', 'Title: Differences in the frequency of X-linked deleterious genes in human populations.', 'Our approach highlights the utility of exome sequencing in uncovering the genetic defect even in families with a small number of affected individuals.', 'Title: Comparison of various algorithms for recognizing short coding sequences of human genes.', 'Title: Whole-exome sequencing studies of nonfunctioning pituitary adenomas.']"
Are most driver gene mutations synonymous or non-synonymous?,"['24147068', '23935863', '23819581', '23799614', '23704925', '23694700', '23450047', '23015295', '22893128', '22649506', '22072984', '19633228', '15946860']",factoid,534427f8aeec6fbd07000009,[['non-synonymous']],"['A common goal of tumor sequencing projects is finding genes whose mutations are selected for during tumor development. This is accomplished by choosing genes that have more non-synonymous mutations than expected from an estimated background mutation frequency.', 'A common goal of tumor sequencing projects is finding genes whose mutations are selected for during tumor development. This is accomplished by choosing genes that have more non-synonymous mutations than expected from an estimated background mutation frequency.  ', 'A common goal of tumor sequencing projects is finding genes whose mutations are selected for during tumor development. This is accomplished by choosing genes that have more non-synonymous mutations than expected from an estimated background mutation frequency.  ', 'A common goal of tumor sequencing projects is finding genes whose mutations are selected for during tumor development. This is accomplished by choosing genes that have more non-synonymous mutations than expected from an estimated background mutation frequency.  ', 'A common goal of tumor sequencing projects is finding genes whose mutations are selected for during tumor development. This is accomplished by choosing genes that have more non-synonymous mutations than expected from an estimated background mutation frequency.  ']","['11479729', '21285074', '19438153', '22589293', '23146897']","['11479729#0', '21285074#1', '19438153#2', '22589293#3', '23146897#4']",[],"importance because more than half of mutation carriers express atypical phenotypes, despite their arrhythmia severity.","```json
{
""exact_answer"": """",
""ideal_answer"": ""importance because more than half of mutation carriers express atypical phenotypes, despite their arrhythmia severity.""
}
```","[{'doc_id': '11479729#0', 'pmid': '11479729', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '21285074#1', 'pmid': '21285074', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '19438153#2', 'pmid': '19438153', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '22589293#3', 'pmid': '22589293', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '23146897#4', 'pmid': '23146897', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}]",0.0,0.0,"['Title: Profiles of accepted mutation: from neutrality in a pseudogene to disease-causing mutation on its homologous gene.', 'Title: Left ventricular non-compaction revisited: a distinct phenotype with genetic heterogeneity?', 'Title: Left ventricular non-compaction: a new mutation predisposing to reverse remodeling?', 'importance because more than half of mutation carriers express atypical phenotypes, despite their arrhythmia severity.', 'Title: Genomic evidence for elevated mutation rates in highly expressed genes.']"
What is the major adverse effect of adriamycin(doxorubicin)?,"['21295102', '15997091', '15114698', '12445862', '12074691', '3461747', '3459397', '3947104', '7325994']",factoid,53551206a0726bee57000001,"[['Cardiotoxicity', 'Cardiac toxicity']]","['Cardiac toxicity is a major adverse effect caused by doxorubicin (DOX) therapy. In spite of the routine use of this drug its major adverse effect, the dose-dependent cardiotoxicity, cannot be prevented yet. Cardiotoxicity is a major adverse effect of the anthracycline antibiotics and can be acute or chronic.', 'Cardiac toxicity is a major adverse effect caused by doxorubicin (DOX) therapy  ', 'Cardiac toxicity is a major adverse effect caused by doxorubicin (DOX) therapy  ', 'Cardiac toxicity is a major adverse effect caused by doxorubicin (DOX) therapy  ', 'Cardiac toxicity is a major adverse effect caused by doxorubicin (DOX) therapy  ', 'Cardiac toxicity is a major adverse effect caused by doxorubicin (DOX) therapy  ']","['7325994', '21453886', '19478935', '18410447', '17118783']","['7325994#0', '21453886#1', '19478935#2', '18410447#3', '17118783#4']",[],The major adverse effect associated with adriamycin (doxorubicin) is profound lymphopenia.,"```json
{
  ""exact_answer"": """",
  ""ideal_answer"": ""The major adverse effect associated with adriamycin (doxorubicin) is profound lymphopenia.""
}
```","[{'doc_id': '7325994#0', 'pmid': '7325994', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '21453886#1', 'pmid': '21453886', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '19478935#2', 'pmid': '19478935', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '18410447#3', 'pmid': '18410447', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '17118783#4', 'pmid': '17118783', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}]",0.0,0.0,"['Title: Inhibition by adriamycin of calmodulin-sensitive and phospholipid-sensitive calcium-dependent phosphorylation of endogenous proteins from heart.', ""Title: Infliximab and adalimumab-induced psoriasis in Crohn's disease: a paradoxical side effect."", 'Title: Effect of dexrazoxane and amifostine on the vertebral bone quality of Doxorubicin treated male rats.', 'Title: The addition of liposomal doxorubicin to bortezomib, thalidomide and dexamethasone significantly improves clinical outcome of advanced multiple myeloma.', 'major side effect associated with the profound lymphopenia occurring as a result of treatment with this agent.']"
Which is the branch site consensus sequence in U12-dependent introns?,['18824513'],factoid,5357a6d0f1005d6b58000004,[['UUCCUUAAC']],['The branch site consensus sequence in U12-dependent introns is UUCCUUAAC.'],"['18824513', '18824513', '18824513', '9049316', '18824513']","['18824513#0', '18824513#1', '18824513#2', '9049316#3', '18824513#4']",[['UUCCUUAAC']],Highly conserved sequences at the 5' splice site and branch site of U12-dependent introns are important determinants for splicing by U12-dependent spliceosomes. This study investigates the in vivo splicing phenotypes of mutations in the branch site consensus sequence of the U12-dependent intron F from a human NOL1 (P120) minigene. Intron F contains a fully consensus branch site sequence (UUCCUUAAC).,"```json
{
""exact_answer"": ""UUCCUUAAC"",
""ideal_answer"": ""Highly conserved sequences at the 5' splice site and branch site of U12-dependent introns are important determinants for splicing by U12-dependent spliceosomes. This study investigates the in vivo splicing phenotypes of mutations in the branch site consensus sequence of the U12-dependent intron F from a human NOL1 (P120) minigene. Intron F contains a fully consensus branch site sequence (UUCCUUAAC).""
}
```","[{'doc_id': '18824513#0', 'pmid': '18824513', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '18824513#1', 'pmid': '18824513', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '18824513#2', 'pmid': '18824513', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '9049316#3', 'pmid': '9049316', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '18824513#4', 'pmid': '18824513', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}]",1.0,1.0,"['Title: Mutational analysis of the U12-dependent branch site consensus sequence.', ""Abstract: Highly conserved sequences at the 5' splice site and branch site of U12-dependent introns are important determinants for splicing by U12-dependent spliceosomes. This study investigates the in vivo splicing phenotypes of mutations in the branch site consensus sequence of the U12-dependent intron F from a human NOL1 (P120) minigene. Intron F contains a fully consensus branch site sequence (UUCCUUAAC). Mutations at each position were analyzed for their effects on U12-dependent splicing"", ""correlation was observed between the predicted thermodynamic stability of the branch site: U12 snRNA interaction and correct U12-dependent splicing. The lack of a polypyrimidine tract between the branch site and 3' splice site of U12-dependent introns and the observed reliance on base-pairing interactions for correct U12-dependent splicing emphasize the importance of RNA/RNA interactions during U12-dependent intron recognition and proper splice site selection."", 'Title: UvrAB activity at a damaged DNA site: is unpaired DNA present?', ""(UUCCUUAAC). Mutations at each position were analyzed for their effects on U12-dependent splicing in vivo. Mutations at most positions resulted in a significant reduction of correct U12-dependent splicing. Defects observed included increased unspliced RNA levels, the activation of cryptic U2-dependent 5' and 3' splice sites, and the activation of cryptic U12-dependent branch/3' splice sites. A strong correlation was observed between the predicted thermodynamic stability of the branch site: U12""]"
