body,documents,type,id,gold_exact_answer,gold_ideal_answer,retrieved_pmids,retrieved_docids,pred_exact_answer,pred_ideal_answer,raw_llm,sources,answer_em,answer_f1,contexts
What is the inheritance pattern of Li–Fraumeni syndrome?,"['7981072', '2190528', '9302689', '16772121', '22672556', '20075382']",factoid,52bf208003868f1b06000019,[['Autosomal dominant']],['Li-Fraumeni syndrome shows autosomal dominant inheritance.'],"['11244211', '11484199', '11427261', '21542789', '17517655']","['11244211#0', '11484199#1', '11427261#2', '21542789#3', '17517655#4']",[],with deletions of the distal long arm of chromosome 13 are sufficiently consistent to suggest a clinical syndrome.,"```json
{
""exact_answer"": """",
""ideal_answer"": ""with deletions of the distal long arm of chromosome 13 are sufficiently consistent to suggest a clinical syndrome.""
}
```","[{'doc_id': '11244211#0', 'pmid': '11244211', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '11484199#1', 'pmid': '11484199', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '11427261#2', 'pmid': '11427261', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '21542789#3', 'pmid': '21542789', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '17517655#4', 'pmid': '17517655', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}]",0.0,0.0,"['in approximately 35% of familial cases with leukoencephalopathy, suggesting genetic heterogeneity of the disease.', 'with deletions of the distal long arm of chromosome 13 are sufficiently consistent to suggest a clinical syndrome.', 'These findings indicate that rSFV-based vaccines have the potential to be developed as effective prototype vaccines for LIV.', 'identifying new genetic polymorphisms remains low. We describe the current knowledge about the role of non-MHC genes in the pathogenesis of rheumatoid arthritis.', 'better understanding of experimental observations concerning the origin of product specificity for PKMTs.']"
What is the main role of Ctf4 in dna replication?,"['24255107', '21470422', '20381454', '20089864', '19805216', '19661920', '19496828', '17761813', '24805245', '15226378', '1448101', '9199353', '11287619', '16962805', '12455694', '23334284', '14742710', '19910927', '19430531', '20980819']",factoid,530cf22aa177c6630c000004,"[['Coordination of the progression of helicase and DNA polymerase alpha at the eukaryotic replication fork.', '']]","['Ctf4 coordinates the progression of helicase and DNA polymerase alpha.  Mcm10 and And-1/CTF4 recruit DNA polymerase alpha to chromatin for initiation of DNA replication. And-1/Ctf4 is therefore a new replication initiation factor that brings together the MCM2-7 helicase and the DNA pol alpha-primase complex, analogous to the linker between helicase and primase or helicase and polymerase that is seen in the bacterial replication machinery.', 'coupling MCM2-7 to replicative polymerases is an important feature of the regulation of chromosome replication in eukaryotes, and highlight a key role for Ctf4 in this processAnd-1/Ctf4 is therefore a new replication initiation factor that brings together the MCM2-7 helicase and the DNA pol alpha-primase complex, analogous to the linker between helicase and primase or helicase and polymerase that is seen in the bacterial replication machinery', 'coupling MCM2-7 to replicative polymerases is an important feature of the regulation of chromosome replication in eukaryotes, and highlight a key role for Ctf4 in this processAnd-1/Ctf4 is therefore a new replication initiation factor that brings together the MCM2-7 helicase and the DNA pol alpha-primase complex, analogous to the linker between helicase and primase or helicase and polymerase that is seen in the bacterial replication machinery']","['21734574', '23471993', '23108159', '15143168', '18725402']","['21734574#0', '23471993#1', '23108159#2', '15143168#3', '18725402#4']",[],,"```json
{
  ""exact_answer"": """",
  ""ideal_answer"": """"
}
```","[{'doc_id': '21734574#0', 'pmid': '21734574', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '23471993#1', 'pmid': '23471993', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '23108159#2', 'pmid': '23108159', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '15143168#3', 'pmid': '15143168', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '18725402#4', 'pmid': '18725402', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}]",0.0,0.0,"['Questions remain regarding the normal function of DUX4 and how expression of DUX4 in somatic cells leads to FSHD.', 'Thus, Gata3/Chd4 forms functionally distinct complexes, which mediate both positive and negative gene regulation to facilitate Th2 cell differentiation.', 'We also propose that DUX4 expression during development is important for the pathogenesis of FSHD.', 'findings suggest that CK2 phosphorylation of Bdf1 may regulate RNA polymerase II transcription and/or chromatin structure.', 'these data demonstrate that Pfh1p has essential roles in the replication of both nuclear and mitochondrial DNA.']"
Which type of lung cancer is afatinib used for?,"['24086949', '23683257', '23664448', '18520300', '18408761', '22452896', '22071596', '21554040']",factoid,530cf4fe960c95ad0c00000b,"[['EGFR-mutant non small cell lung carcinoma', 'EGFR-mutant NSCLC']]","['Afatinib is a small molecule covalently binding and inhibiting the EGFR, HER2 and HER4 receptor tyrosine kinases. Trials showed promising efficacy in patients with EGFR-mutant NSCLC or enriched for clinical benefit from EGFR tyrosine kinase inhibitors gefitinib or erlotinib.', 'Afatinib is a novel irreversible inhibitor of the ErbB family members EGFR, tyrosine kinase-type cell surface receptors HER2 and HER4. It shows preclinical efficacy in NSCLC with common EGFR-activating mutations and the T790M mutation typically associated with EGFR TKI resistanceBIBW2992 is an irreversible EGFR TKI that also inhibits HER2 and vascular epidermal growth factor receptors']","['22452896', '22147611', '18477765', '17382020', '20189881']","['22452896#0', '22147611#1', '18477765#2', '17382020#3', '20189881#4']",[['advanced lung adenocarcinoma']],suggest that afatinib could be of some benefit to patients with advanced lung adenocarcinoma who have failed at least 12 weeks of previous EGFR tyrosine-kinase inhibitor treatment.,"```json
{
""exact_answer"": ""advanced lung adenocarcinoma"",
""ideal_answer"": ""suggest that afatinib could be of some benefit to patients with advanced lung adenocarcinoma who have failed at least 12 weeks of previous EGFR tyrosine-kinase inhibitor treatment.""
}
```","[{'doc_id': '22452896#0', 'pmid': '22452896', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '22147611#1', 'pmid': '22147611', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '18477765#2', 'pmid': '18477765', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '17382020#3', 'pmid': '17382020', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '20189881#4', 'pmid': '20189881', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}]",0.0,0.0,"['suggest that afatinib could be of some benefit to patients with advanced lung adenocarcinoma who have failed at least 12 weeks of previous EGFR tyrosine-kinase inhibitor treatment. Boehringer Ingelheim Inc.', 'particular challenge for the pediatrician is the sufficient and adequate pain therapy in palliative care.', 'study of atrasentan with radiation therapy and temozolomide in newly diagnosed GBM is warranted to evaluate the efficacy of this novel agent.', 'therapies in the area of blastic phase CML and Philadelphia chromosome-positive acute lymphoblastic leukemia with previous imatinib failure.', 'disease treatments on cortical fibrillar amyloid-beta load in vivo. Elan Pharmaceuticals and Wyeth Research.']"
What is the clinical indication of cardiac T1 mapping magnetic resonance?,"['24124732', '24043965', '24036385', '24011774', '23549230', '23498674', '23498672', '23408722', '22967246', '22720998', '22309452', '22279111', '19007595', '17659622', '12765114', '25424139', '22710483', '24931636', '24566951', '23564562', '24425501', '23272704', '24518490', '23403334', '24472162', '23280998', '22161952', '24903343', '25310419', '24576837', '23890156', '23643513', '17896383', '21974927']",factoid,530cf51d5610acba0c000001,"[['T1 mapping can quantitatively characterize myocardial tissue, i.e. fibrosis and edema.']]","['T1 mapping can quantitatively characterize myocardial tissue, in particular diffuse and interstitial fibrosis, edema in both overt and subclinical cardiophyopathies. However more research is required before a large-scale application for clinical decision-making can be recommended.']","['20733477', '23083810', '8825048', '12454739', '22795419']","['20733477#0', '23083810#1', '8825048#2', '12454739#3', '22795419#4']",[],Cardiac T1 mapping magnetic resonance may provide useful prognostic information for colorectal cancer patients.,"```json
{
  ""exact_answer"": """",
  ""ideal_answer"": ""Cardiac T1 mapping magnetic resonance may provide useful prognostic information for colorectal cancer patients.""
}
```","[{'doc_id': '20733477#0', 'pmid': '20733477', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '23083810#1', 'pmid': '23083810', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '8825048#2', 'pmid': '8825048', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '12454739#3', 'pmid': '12454739', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '22795419#4', 'pmid': '22795419', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}]",0.0,0.0,"['that p73 polymorphism analysis may provide useful prognostic information for colorectal cancer patients.', 'describe currently available compounds with significant therapeutic potential for treating genetic disorders and cancer.', 'that mutation analysis can contribute to a diagnosis of tuberous sclerosis in families with an incomplete phenotype.', 'to be the best therapeutic alternatives in the management of patients who become resistant to imatinib monotherapy.', 'and their potential uses in the ED setting represent an important aspect of continuing education for emergency physicians.']"
Which hormone abnormalities are characteristic to Pendred syndrome?,"['23235354', '22116361', '22109890', '21511235', '20834201', '20822748', '20583162', '20501687', '20298745', '19692489', '19318451', '19205523', '19196800', '19189692', '18692402', '17697873', '17365057', '17120770', '16263499', '15863666', '15807875', '15279074', '11375792', '10650967', '9618167', '8706311', '7852510', '21745434', '8630497', '10700480', '7492068', '17322586', '18538122', '1159063', '10571950', '15355436', '10637573']",factoid,53148a07dae131f847000002,[['thyroid']],"['Thyroid hormone abnormalities are characteristic to Pendred syndrome. Hypothyroidism is the most common thyroid hormone abnormality in Pendred syndrome. Pendred syndrome  is an autosomal recessive disorder characterized by sensorineural deafness, goiter and a partial defect in iodide organification.']","['22147611', '11484199', '22707725', '22175015', '23065279']","['22147611#0', '11484199#1', '22707725#2', '22175015#3', '23065279#4']",[],with deletions of the distal long arm of chromosome 13 are sufficiently consistent to suggest a clinical syndrome.,"```json
{
""exact_answer"": """",
""ideal_answer"": ""with deletions of the distal long arm of chromosome 13 are sufficiently consistent to suggest a clinical syndrome.""
}
```","[{'doc_id': '22147611#0', 'pmid': '22147611', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '11484199#1', 'pmid': '11484199', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '22707725#2', 'pmid': '22707725', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '22175015#3', 'pmid': '22175015', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '23065279#4', 'pmid': '23065279', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}]",0.0,0.0,"['particular challenge for the pediatrician is the sufficient and adequate pain therapy in palliative care.', 'with deletions of the distal long arm of chromosome 13 are sufficiently consistent to suggest a clinical syndrome.', 'Given the synergistic consequences on contractility, it is not surprising that the mutants cause lethal, hereditary dilated cardiomyopathy.', 'to the classical p38α isoform, although they may play central and distinct role in certain physiological and pathological processes.', 'better association of the molecular defects with the severity of the deficiency than with clinical manifestations.']"
What is an approximate number of CTCF binding sites in the human genome?,"['23707059', '22955980', '22829947', '22709888', '15670593', '15229244', '11854173', '11076856', '8034708']",factoid,533c38b3c45e133714000009,"[['30,000-50,000']]","['The number of CTCF binding sites in the human genome lies between 31,000 and 50,000.']","['17693653', '21261921', '19132393', '21614516', '23555300']","['17693653#0', '21261921#1', '19132393#2', '21614516#3', '23555300#4']",[],,"```json
{
""exact_answer"": """",
""ideal_answer"": """"
}
```","[{'doc_id': '17693653#0', 'pmid': '17693653', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '21261921#1', 'pmid': '21261921', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '19132393#2', 'pmid': '19132393', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '21614516#3', 'pmid': '21614516', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '23555300#4', 'pmid': '23555300', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}]",0.0,0.0,"['in assessing the biological activity of antiangiogenic agents in the absence of validated biological assays.', 'the probable response of subsurface microorganisms to possible bioremediation approaches prior to implementation.', 'favor additive expression of parental DNA methyltransferase genes maintaining high levels of DNA methylation in tobacco, which has a repeat-rich heterochromatic genome.', 'The results indicate the calcium handling properties of hiPSC-derived cardiomyocytes are relatively immature to hESC counterparts.', 'which CD84 genotypes and/or expression may serve as a useful biomarker for response to etanercept treatment in RA patients of European ancestry.']"
What is an acceptable sequence coverage(depth) required for human whole-exome sequencing?,"['24065236', '23940558', '23728943', '23647072', '23450047', '23357921', '23349227', '23272691', '23015295', '22952768', '22654895', '22156295', '22038007', '21943378', '21499249', '24290377', '23160641', '21654732']",factoid,533c390bc45e13371400000b,[['30x-60x']],['A medium depth may be considered as 8x while the most common values vary between 30x and 60x. Values more than 75x or even up to 125x may be considered for the investigation of rare disease variants.'],"['22811911', '22795419', '17534191', '24076290', '17517655']","['22811911#0', '22795419#1', '17534191#2', '24076290#3', '17517655#4']",[],Our approach highlights the utility of exome sequencing in uncovering the genetic defect even in families with a small number of affected individuals.,"```json
{
  ""exact_answer"": """",
  ""ideal_answer"": ""Our approach highlights the utility of exome sequencing in uncovering the genetic defect even in families with a small number of affected individuals.""
}
```","[{'doc_id': '22811911#0', 'pmid': '22811911', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '22795419#1', 'pmid': '22795419', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '17534191#2', 'pmid': '17534191', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '24076290#3', 'pmid': '24076290', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '17517655#4', 'pmid': '17517655', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}]",0.0,0.0,"['In conclusion, while regular physical activity increases life expectancy, it remains unclear if high-intensity sports activities further increase life expectancy.', 'and their potential uses in the ED setting represent an important aspect of continuing education for emergency physicians.', 'what is possible in the genomic era, and indicate what we should expect from genetic studies in adolescent idiopathic scoliosis, a complex trait disease.', 'Our approach highlights the utility of exome sequencing in uncovering the genetic defect even in families with a small number of affected individuals.', 'better understanding of experimental observations concerning the origin of product specificity for PKMTs.']"
Are most driver gene mutations synonymous or non-synonymous?,"['24147068', '23935863', '23819581', '23799614', '23704925', '23694700', '23450047', '23015295', '22893128', '22649506', '22072984', '19633228', '15946860']",factoid,534427f8aeec6fbd07000009,[['non-synonymous']],"['A common goal of tumor sequencing projects is finding genes whose mutations are selected for during tumor development. This is accomplished by choosing genes that have more non-synonymous mutations than expected from an estimated background mutation frequency.', 'A common goal of tumor sequencing projects is finding genes whose mutations are selected for during tumor development. This is accomplished by choosing genes that have more non-synonymous mutations than expected from an estimated background mutation frequency.  ', 'A common goal of tumor sequencing projects is finding genes whose mutations are selected for during tumor development. This is accomplished by choosing genes that have more non-synonymous mutations than expected from an estimated background mutation frequency.  ', 'A common goal of tumor sequencing projects is finding genes whose mutations are selected for during tumor development. This is accomplished by choosing genes that have more non-synonymous mutations than expected from an estimated background mutation frequency.  ', 'A common goal of tumor sequencing projects is finding genes whose mutations are selected for during tumor development. This is accomplished by choosing genes that have more non-synonymous mutations than expected from an estimated background mutation frequency.  ']","['23065279', '24314737', '16003110', '22072984', '22147611']","['23065279#0', '24314737#1', '16003110#2', '22072984#3', '22147611#4']",[],,"```json
{
""exact_answer"": """",
""ideal_answer"": """"
}
```","[{'doc_id': '23065279#0', 'pmid': '23065279', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '24314737#1', 'pmid': '24314737', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '16003110#2', 'pmid': '16003110', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '22072984#3', 'pmid': '22072984', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '22147611#4', 'pmid': '22147611', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}]",0.0,0.0,"['better association of the molecular defects with the severity of the deficiency than with clinical manifestations.', 'strategy for sequence or combination therapy to optimize the use of these new molecules should be investigated.', 'through the cloning of different disease genes are interacting on different levels and share several major pathogenic mechanisms.', 'some susceptibility alleles for autoimmune diseases may be maintained in human population due to past selective processes.', 'particular challenge for the pediatrician is the sufficient and adequate pain therapy in palliative care.']"
What is the major adverse effect of adriamycin(doxorubicin)?,"['21295102', '15997091', '15114698', '12445862', '12074691', '3461747', '3459397', '3947104', '7325994']",factoid,53551206a0726bee57000001,"[['Cardiotoxicity', 'Cardiac toxicity']]","['Cardiac toxicity is a major adverse effect caused by doxorubicin (DOX) therapy. In spite of the routine use of this drug its major adverse effect, the dose-dependent cardiotoxicity, cannot be prevented yet. Cardiotoxicity is a major adverse effect of the anthracycline antibiotics and can be acute or chronic.', 'Cardiac toxicity is a major adverse effect caused by doxorubicin (DOX) therapy  ', 'Cardiac toxicity is a major adverse effect caused by doxorubicin (DOX) therapy  ', 'Cardiac toxicity is a major adverse effect caused by doxorubicin (DOX) therapy  ', 'Cardiac toxicity is a major adverse effect caused by doxorubicin (DOX) therapy  ', 'Cardiac toxicity is a major adverse effect caused by doxorubicin (DOX) therapy  ']","['22707725', '21614516', '22147611', '16843101', '24170233']","['22707725#0', '21614516#1', '22147611#2', '16843101#3', '24170233#4']",[],"Lethal, hereditary dilated cardiomyopathy","```json
{
""exact_answer"": """",
""ideal_answer"": ""Lethal, hereditary dilated cardiomyopathy""
}
```","[{'doc_id': '22707725#0', 'pmid': '22707725', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '21614516#1', 'pmid': '21614516', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '22147611#2', 'pmid': '22147611', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '16843101#3', 'pmid': '16843101', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '24170233#4', 'pmid': '24170233', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}]",0.0,0.0,"['Given the synergistic consequences on contractility, it is not surprising that the mutants cause lethal, hereditary dilated cardiomyopathy.', 'The results indicate the calcium handling properties of hiPSC-derived cardiomyocytes are relatively immature to hESC counterparts.', 'particular challenge for the pediatrician is the sufficient and adequate pain therapy in palliative care.', 'but more studies are needed to investigate the long-term effect of the imatinib treatment on genetic instability.', 'a need for independent studies comparing the efficacy and risk of side effects of NOAC with that of VKA in elderly AF patients.']"
Which is the branch site consensus sequence in U12-dependent introns?,['18824513'],factoid,5357a6d0f1005d6b58000004,[['UUCCUUAAC']],['The branch site consensus sequence in U12-dependent introns is UUCCUUAAC.'],"['11484199', '21614516', '21060858', '8910287', '11239395']","['11484199#0', '21614516#1', '21060858#2', '8910287#3', '11239395#4']",[],These results suggest that plant and mammalian RNA-directed DNA methylation systems consist of a combination of ancestral and convergent features.,"```json
{
""exact_answer"": """",
""ideal_answer"": ""These results suggest that plant and mammalian RNA-directed DNA methylation systems consist of a combination of ancestral and convergent features.""
}
```","[{'doc_id': '11484199#0', 'pmid': '11484199', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '21614516#1', 'pmid': '21614516', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '21060858#2', 'pmid': '21060858', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '8910287#3', 'pmid': '8910287', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '11239395#4', 'pmid': '11239395', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}]",0.0,0.0,"['with deletions of the distal long arm of chromosome 13 are sufficiently consistent to suggest a clinical syndrome.', 'The results indicate the calcium handling properties of hiPSC-derived cardiomyocytes are relatively immature to hESC counterparts.', 'These results suggest that plant and mammalian RNA-directed DNA methylation systems consist of a combination of ancestral and convergent features.', 'demonstrating reciprocally selective inhibition of different MAP kinases by two distinct dual specificity phosphatases.', 'because Ccr4p and Caf1p interact with transcription factors, these results suggest an unexpected link between mRNA synthesis and turnover.']"
